,,prix_au_m2,count,min,max,nom_commune
2120.0,Appartement,653.8461538461538,1,653.8461538461538,653.8461538461538,Guise
2120.0,Maison,1039.9293532413917,39,512.5,2500.0,Audigny
2130.0,Appartement,1300.0,1,1300.0,1300.0,Fère-en-Tardenois
2130.0,Maison,1075.6112080566472,38,521.7391304347826,2022.2222222222222,Fère-en-Tardenois
2140.0,Appartement,940.3127383676583,2,608.695652173913,1271.9298245614036,Vervins
2140.0,Maison,997.4313138941994,25,508.47457627118644,1937.5,Plomion
2150.0,Maison,781.2554610234343,11,520.0,1100.9174311926606,La Selve
2160.0,Maison,1260.364466535255,31,605.6910569105692,2770.0,Pontavert
2170.0,Maison,1196.5533805677053,21,571.4285714285714,2020.8333333333333,Le Nouvion-en-Thiérache
2190.0,Maison,1630.0729138084855,34,565.0,4147.727272727273,Prouvais
2200.0,Appartement,1757.5984761439129,80,700.4830917874397,6428.571428571428,Soissons
2200.0,Maison,1575.3013387367264,145,530.952380952381,4214.285714285715,Soissons
2210.0,Appartement,937.5,1,937.5,937.5,Rozet-Saint-Albin
2210.0,Maison,1206.167980770724,31,504.20168067226894,3137.2549019607845,Chouy
2220.0,Maison,1156.611431965603,31,509.4339622641509,2583.3333333333335,Augy
2230.0,Maison,924.4868755514088,11,512.8205128205128,1506.2445652173913,Fresnoy-le-Grand
2240.0,Maison,1266.5172236401825,33,512.0967741935484,5527.777777777777,Mézières-sur-Oise
2250.0,Appartement,1862.0689655172414,1,1862.0689655172414,1862.0689655172414,Marle
2250.0,Maison,858.4996318325869,11,565.2892561983471,1323.5294117647059,Marle
2260.0,Appartement,503.8759689922481,1,503.8759689922481,503.8759689922481,La Capelle
2260.0,Maison,1073.2428565963653,17,626.6666666666666,2000.0,La Flamengrie
2270.0,Maison,1167.9725327647905,32,533.3333333333334,3625.0,Remies
2290.0,Appartement,1264.7556520127562,5,907.2368421052631,1724.1379310344828,Vic-sur-Aisne
2290.0,Maison,1528.4225226089025,30,674.0588235294117,5000.0,Épagny
2300.0,Appartement,1662.3782510558208,14,833.3333333333334,2853.3333333333335,Chauny
2300.0,Maison,1212.6145064285872,127,526.158940397351,3125.0,Pierremande
2310.0,Appartement,1436.1199081415925,4,1002.5316455696203,2093.0232558139537,Nogent-l'Artaud
2310.0,Maison,1517.8634204457094,49,526.3157894736842,3239.43661971831,Charly-sur-Marne
2320.0,Maison,1234.6589030960392,37,534.4827586206897,2828.282828282828,Pinon
2330.0,Appartement,580.3571428571429,1,580.3571428571429,580.3571428571429,Condé-en-Brie
2330.0,Maison,1600.8940351035199,8,527.2727272727273,5892.857142857143,Saint-Eugène
2340.0,Maison,913.0737425432632,16,555.5555555555555,1688.3116883116884,Dizy-le-Gros
2350.0,Maison,1095.407991642406,24,564.179104477612,1664.2857142857142,Bucy-lès-Pierrepont
2360.0,Maison,745.9087308951382,14,543.1034482758621,1010.6382978723404,Résigny
2370.0,Appartement,1473.2173174872664,2,715.7894736842105,2230.6451612903224,Vailly-sur-Aisne
2370.0,Maison,1361.6767804760111,17,639.5230769230769,2394.1176470588234,Vailly-sur-Aisne
2380.0,Appartement,625.0,1,625.0,625.0,Coucy-la-Ville
2380.0,Maison,1407.462705276861,11,617.8571428571429,3858.695652173913,Leuilly-sous-Coucy
2390.0,Maison,1000.1632673446637,11,706.5217391304348,1381.6901408450703,Thenelles
2400.0,Appartement,1582.3871464319925,38,634.6079487179487,2577.4647887323945,Essômes-sur-Marne
2400.0,Maison,1690.104807286277,95,562.5,4875.0,Essômes-sur-Marne
2410.0,Maison,1181.4373483943502,6,649.3506493506494,1942.3076923076924,Saint-Gobain
2420.0,Maison,1145.9998321841224,24,569.2307692307693,2294.1176470588234,Levergies
2430.0,Appartement,938.2281898266552,3,788.2352941176471,1101.4492753623188,Gauchy
2430.0,Maison,1314.6131044018327,18,783.7837837837837,1807.2289156626507,Gauchy
2440.0,Maison,1338.6513317199185,9,614.2857142857143,1739.784946236559,Montescourt-Lizerolles
2450.0,Maison,1163.6906206590074,17,579.516129032258,2303.7974683544303,Boué
2460.0,Appartement,1709.3240093240092,3,1251.7482517482517,2045.4545454545455,La Ferté-Milon
2460.0,Maison,1746.9307819771598,13,1071.4285714285713,2829.878048780488,La Ferté-Milon
2470.0,Appartement,624.8198198198198,2,610.0,639.6396396396397,Neuilly-Saint-Front
2470.0,Maison,1357.3943021056639,10,844.5945945945946,2177.777777777778,Marizy-Sainte-Geneviève
2480.0,Maison,1267.9929056331823,9,555.5555555555555,2424.242424242424,Jussy
2490.0,Maison,989.3631901667678,11,578.125,1629.6296296296296,Pontruet
2500.0,Appartement,4850.0,2,700.0,9000.0,Hirson
2500.0,Maison,934.0499429571381,39,503.3057851239669,1646.341463414634,Hirson
2510.0,Maison,868.7113730439596,7,508.06451612903226,1116.504854368932,Hannapes
2520.0,Maison,1279.4741114891162,5,798.6725663716815,2062.5,Flavy-le-Martel
2540.0,Appartement,1076.1538461538462,1,1076.1538461538462,1076.1538461538462,Viels-Maisons
2540.0,Maison,2128.6703603522856,6,619.3548387096774,4367.088607594937,Dhuys et Morin-en-Brie
2550.0,Maison,698.827731092437,4,583.3333333333334,777.3109243697479,Origny-en-Thiérache
2570.0,Maison,1651.1376621635688,9,697.6744186046511,2816.9014084507044,Chézy-sur-Marne
2580.0,Maison,871.6091156226503,3,573.5294117647059,1333.3333333333333,Étréaupont
2590.0,Maison,1322.3106109249277,14,561.7977528089888,2237.313432835821,Étreillers
2600.0,Appartement,1728.0640482448546,13,1000.0,2619.0476190476193,Villers-Cotterêts
2600.0,Maison,2006.5183719173901,51,624.0,7798.918918918919,Montgobert
2610.0,Maison,913.9580327080326,4,738.6363636363636,1148.148148148148,Moÿ-de-l'Aisne
2620.0,Maison,1034.8718838567875,3,735.2941176470588,1502.654867256637,Buironfosse
2630.0,Maison,692.10749281285,6,513.5135135135135,1020.4081632653061,Wassigny
2640.0,Maison,991.1899412721781,6,546.6666666666666,1765.4545454545455,Saint-Simon
2650.0,Maison,1050.0044572577785,7,775.7009345794393,1402.8776978417266,Crézancy
2670.0,Maison,1187.0254694378973,6,517.7514792899408,1560.6060606060605,Folembray
2680.0,Appartement,1243.5897435897434,3,1197.3684210526317,1302.6315789473683,Grugies
2680.0,Maison,1506.2460477542897,7,689.1891891891892,2215.1898734177216,Dallon
2690.0,Maison,1479.3954875817362,8,622.6086956521739,2362.6373626373625,Essigny-le-Grand
2700.0,Appartement,1512.5,1,1512.5,1512.5,Tergnier
2700.0,Maison,1227.123593996582,73,539.2156862745098,4487.179487179487,Tergnier
2720.0,Appartement,981.2409812409812,2,841.2698412698413,1121.2121212121212,Homblières
2720.0,Maison,1308.1425518925519,3,639.9038461538462,1891.6666666666667,Homblières
2760.0,Maison,1357.616893428525,7,700.0,1940.2985074626865,Holnon
2800.0,Appartement,1154.7619047619048,3,750.0,1428.5714285714287,La Fère
2800.0,Maison,941.6075824501144,37,508.3333333333333,1641.875,Charmes
2810.0,Maison,1613.128180069394,9,700.0,2160.0,Gandelu
